Food Name,Category,GI,Carbs
"Sweet potato (Ipomoea batatas), Clarendon cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,81.0,16.0
"Sweet potato (Ipomoea batatas), Eustace cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,93.0,19.0
"Sweet potato (Ipomoea batatas), Fire on Land cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,90.0,18.0
"Sweet potato (Ipomoea batatas), Ganja cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,79.0,16.0
"Sweet potato (Ipomoea batatas), Ms Mac cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,85.0,17.0
"Sweet potato (Ipomoea batatas), Minda cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,89.0,18.0
"Sweet potato (Ipomoea batatas), Quarter Million cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,91.0,18.0
"Sweet potato (Ipomoea batatas), Watson cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,87.0,17.0
"Sweet potato (Ipomoea batatas), Yellow Belly cultivar, skin on, roasted on pre-heated charcoal for 45 min",Vegetables,85.0,17.0
"Sweet potato (Ipomoea batatas), NS, peeled, roasted on preheated charcoal",Vegetables,82.0,16.0
"Dasheen (Taro), peeled, cubed, boiled 30 min",Vegetables,72.0,14.0
"Dasheen, peeled, boiled 30 min, refrigerated, reheated for 1 min",Vegetables,77.0,15.0
"Lucea Yam (Dioscorea rotundata), peeled, cubed, boiled 30 min",Vegetables,74.0,15.0
"Lucea Yam (Dioscorea rotundata), peeled, roasted on preheated charcoal",Vegetables,77.0,15.0
"Negro yam (Dioscorea rotundata), peeled, cubed, boiled 30 min",Vegetables,73.0,15.0
"Negro yam (Dioscorea rotundata), peeled, roasted on preheated charcoal",Vegetables,73.0,15.0
"Round leaf yellow yam (Dioscorea cayenensis), peeled, roasted on preheated charcoal",Vegetables,80.0,16.0
"Sweet yam (Dioscorea alata), peeled, cubed, boiled 30 min",Vegetables,79.0,16.0
"Sweet yam (Dioscorea alata), peeled, roasted on preheated charcoal",Vegetables,82.0,16.0
"White yam (Dioscorea alata), peeled, cubed, boiled 30 min",Vegetables,75.0,15.0
"White yam (Dioscorea alata), peeled, roasted on preheated charcoal",Vegetables,80.0,16.0
"Yam (Dioscorea alata), white yam, cut into 25 mm chunks, boiled for 20 min, simmered for 10 min",Vegetables,75.0,15.0
"Yam (Dioscorea esculenta), Chinese yam, cut into 25 mm chunks, boiled for 20 min, simmered for 10 min",Vegetables,97.0,19.0
"Yam (Dioscorea rotundata), Lucea yam, cut into 25 mm chunks, boiled for 20 min, simmered for 10 min",Vegetables,74.0,15.0
"Banane braise (blissi), unripe or half-ripe plantain (Musa spp. Afoto), roasted on heated charcoal",Regional or Traditional Foods,88.0,31.0
"Meat and okra soup, with fermented cassava dough",Regional or Traditional Foods,75.0,26.0
"Ugali porridge (corn foofoo, pap) made from whole maize flour, cooked for 15 min",Regional or Traditional Foods,71.0,25.0
"Ugali porridge (corn foofoo, pap) made from refined maize flour, cooked for 15 min",Regional or Traditional Foods,75.0,26.0
Arseyah (Basmati rice with chicken),Regional or Traditional Foods,72.0,25.0
"Doughnut, served with Omani coffee (130 mL, 225 mg caffeine)",Regional or Traditional Foods,77.0,27.0
"Fendal (boiled sweet potato, dates added to cooking water)",Regional or Traditional Foods,74.0,26.0
"Fried vermicelli (Swayweih/Ballaleet), cooked with sugar, served with water",Regional or Traditional Foods,72.0,25.0
Muhalla bread (Emirati sweet crepe),Regional or Traditional Foods,77.0,27.0
Regag bread (Thin crispy crepe),Regional or Traditional Foods,76.0,27.0
"Thareed, beef (Regag bread served with meat stew)",Regional or Traditional Foods,74.0,26.0
"Bread, Garden milk bar bun",Regional or Traditional Foods,73.0,26.0
"Bun, steamed, made from wheat flour",Regional or Traditional Foods,85.0,30.0
"Butter rice, warm white rice and 10 g butter",Regional or Traditional Foods,79.0,28.0
"Chee Cheong Fun, rice noodle roll or steamed rice roll, plain served with sweet soya sauce",Regional or Traditional Foods,81.0,28.0
"Chinese Carrot Cake, turnip cake, daikon cake or radish cake, pan-fired shredded radish with plain rice flour",Regional or Traditional Foods,77.0,27.0
"Chinese Yam Cake, taro cake or pan-fried shredded yam with plan rice four",Regional or Traditional Foods,86.0,30.0
"Fried Rice in Yangzhou-style, instant",Regional or Traditional Foods,80.0,28.0
"Glutinous rice, white, cooked in rice cooker",Regional or Traditional Foods,94.0,33.0
"Instant cereal, Nestlé Vita (red date flavor, high FE), with boiled water",Regional or Traditional Foods,94.0,33.0
"Instant cereal, Nestlé Vita (green tea flavor, high Ca), with boiled water",Regional or Traditional Foods,108.0,38.0
Lo Mai Gai,Regional or Traditional Foods,106.0,37.0
Low-protein white rice with dried sea algae,Regional or Traditional Foods,70.0,25.0
"Noodles, doll fried noodles (wheat flour and tapioca starch), boiled 3 min",Regional or Traditional Foods,88.0,31.0
"Pink Rice Cake (teochew rice cake or Png Kueh), steamed rice pastry stuffed with pan-fried glutinous rice",Regional or Traditional Foods,97.0,34.0
"Plain steamed vermicelli roll, instant",Regional or Traditional Foods,90.0,32.0
"Red bean dessert, instant, Nissin Brand",Regional or Traditional Foods,75.0,26.0
Rice gruel with dried algae,Regional or Traditional Foods,81.0,28.0
Roasted rice ball,Regional or Traditional Foods,77.0,27.0
"Salted meat rice dumpling, instant",Regional or Traditional Foods,81.0,28.0
"Steamed glutinous rice roll, instant",Regional or Traditional Foods,89.0,31.0
"Sticky rice wrapped in lotus leaf, instant",Regional or Traditional Foods,83.0,29.0
"Sweet milky bun, frozen, steamed, (AMOY Brand",Regional or Traditional Foods,72.0,25.0
"White rice (Satou Co. Ltd, Japan) with salted dried plum (umeboshi)",Regional or Traditional Foods,80.0,28.0
Bun,Regional or Traditional Foods,82.0,29.0
"Naan bread, heated in microwave for 25 sec",Regional or Traditional Foods,71.0,25.0
Rice dosa,Regional or Traditional Foods,76.0,27.0
Rice idli (commercially available dry mix),Regional or Traditional Foods,85.0,30.0
"Finger millet, decorticated, with lower degree of polish, in the form of upma (savory meal and traditional Indian breakfast choice)",Regional or Traditional Foods,85.0,30.0
Finger millet flakes in the form of upma,Regional or Traditional Foods,82.0,29.0
Upma,Regional or Traditional Foods,71.0,25.0
"Corn muffin, low-amylose (0-7%, Waxy-Amioca) #",Bakery Products,102.0,31.0
"Oatmeal, muffin, made from mix (Quaker Oats Co. of Canada, Peterborough, Canada) #",Bakery Products,70.0,21.0
"Crumpet (Dempster's Corporate Foods Ltd., Etobicoke, Canada) #",Bakery Products,70.0,21.0
"Doughnut, wheat dough, deep-fried #",Bakery Products,75.0,23.0
"Doughnut, cake type (Loblaw's, Canada) #",Bakery Products,77.0,23.0
"Lamingtons, sponge dipped in chocolate and coconut (Farmland, Grocery Holdings, Australia) #",Bakery Products,87.0,26.0
"Waffles, Aunt Jemima (Quaker Oats Co. of Canada) #",Bakery Products,77.0,23.0
"Coca-Cola® (Coca Cola, Atlanta, GA, USA) #",Beverages,77.0,19.0
"Cola, sucrose-sweetened, Pepsi® (Pepsi; Hartwell Ltd., Finland) #",Beverages,90.0,23.0
"Lucozade®, original (sparkling glucose drink) (Glaxo Wellcome Ltd., Uxbridge, Middlesex, UK) #",Beverages,95.0,24.0
"Gatorade®, orange flavor, US formula (Gatorade, Chicago, IL, USA) #",Beverages,89.0,22.0
"GatorLode®, orange flavor (Gatorade, Chicago, IL, USA) #",Beverages,100.0,25.0
"Bagel, white, frozen (Lender's Bakery, Montreal, Canada) #",Breads,73.0,11.0
Bagel #,Breads,77.0,12.0
"Baguette, white, plain, industrially produced #",Breads,95.0,14.0
"Classic French baguette (prepared with wheat flour, ascorbic acid, water, salt & 50 g yeast) #",Breads,83.0,12.0
"Classic French baguette (prepared with wheat flour, ascorbic acid, water, salt & 50 g yeast) #",Breads,75.0,11.0
"Classic French baguette (prepared with wheat flour, ascorbic acid, water, salt & 50 g yeast) #",Breads,78.0,12.0
"French baguette, traditional (prepared with wheat flour, water, salt and 20 g yeast) #",Breads,70.0,11.0
"French bread loaf, fermented with leaven #",Breads,80.0,12.0
"French bread loaf, fermented with yeast #",Breads,81.0,12.0
"Barley flour bread, made from 50% wheat flour and 50% coarse sieved barley flour (containing 4.2% total 1-3, 1-4 ß-glucan of which 2.8% soluble) #",Breads,74.0,11.0
"Barley flour bread, made from 80% wheat flour and 20% water-extracted barley flour (containing 6.3% total 1-3, 1-4 ß-glucan of which 5.7% soluble) #",Breads,70.0,11.0
"Barley flour bread, whole-grain, made from 50% barley flour and 50% wheat flour (containing 2.4% total 1-3, 1-4 ß-glucan of which 2.0% soluble) #",Breads,85.0,13.0
"Barley bread, 70% high-amylose barley flour & 30% white wheat flour, conventionally baked for 45 min at 200°C #",Breads,71.0,11.0
"Barley bread, whole-wheat #",Breads,75.0,11.0
"Gluten-free buckwheat bread, made with buckwheat meal & rice flour (Naturis Organic Bread, NSW, Australia) #",Breads,72.0,11.0
"Gluten-free bread, made from 100% Hom Mali 105 rice flour #",Breads,131.0,20.0
"Gluten-free white bread, unsliced (gluten-free wheat starch) #",Breads,72.0,11.0
"Gluten-free white bread, sliced (gluten-free wheat starch) #",Breads,81.0,12.0
"Gluten-free fiber-enriched, unsliced (gluten-free wheat starch, soya bran) #",Breads,70.0,11.0
"Gluten-free fiber-enriched, sliced (gluten-free wheat starch, soya bran) #",Breads,77.0,12.0
Gluten free bread (rice flour and potato starch) #,Breads,71.0,11.0
"Kaiser rolls (Loblaw's, Canada) #",Breads,74.0,11.0
Rice bread #,Breads,73.0,11.0
"Roti, made from CHT1W maize (Zea mays L.) flour #",Breads,71.0,11.0
"Roti, made from Insaf wheat (Triticum aesitivum L.) flour #",Breads,71.0,11.0
"Roti, made from Pirsabaq 2005 wheat (Triticum aesitivum L.) flour #",Breads,70.0,11.0
"Roti, made from Shahkar 2013 wheat (Triticum aesitivum L.) flour #",Breads,70.0,11.0
"Blackbread, Riga (Berzin's Specialty Bakery, Sydney, Australia) #",Breads,76.0,11.0
"Dark rye bread, Schinkenbrot, Riga, (Berzin's Specialty Bakery, Sydney, Australia) #",Breads,86.0,13.0
"Dark/Swiss rye, Bürgen™ (Tip Top Bakeries, Australia) #",Breads,74.0,11.0
White bread #,Breads,70.0,11.0
White bread #,Breads,70.0,11.0
White bread #,Breads,71.0,11.0
"White bread (Dempster's Corporate Foods Ltd., Canada) #",Breads,72.0,11.0
White bread #,Breads,71.0,11.0
White bread #,Breads,71.0,11.0
White bread #,Breads,72.0,11.0
White bread #,Breads,72.0,11.0
White bread #,Breads,76.0,11.0
"White bread, commercially-manufactured #",Breads,77.0,12.0
White bread #,Breads,78.0,12.0
White bread #,Breads,80.0,12.0
"White bread (Hovis Classic, British Bakeries Ltd, UK) #",Breads,87.0,13.0
"White bread, homemade #",Breads,89.0,13.0
White bread #,Breads,89.0,13.0
White bread #,Breads,93.0,14.0
White bread #,Breads,94.0,14.0
"White bread, frozen and defrosted (British Bakeries Ltd, UK) #",Breads,75.0,11.0
"Bread, made from 100% white wheat flour, frozen and thawed #",Breads,83.0,12.0
"Bread, made from wheat flour, steamed #",Breads,86.0,13.0
"Bread, made from mixed white wheat flour (50% Shi4185 and 50% Shixin733 flours), steamed for 20 min #",Breads,93.0,14.0
"White wheat flour bread, hard, toasted #",Breads,74.0,11.0
"Bread, made from wheat flour and 10% cassava flour #",Breads,93.0,14.0
"Bread, made from wheat flour and 15% cassava flour #",Breads,91.0,14.0
"Bread, made from wheat flour and 20% cassava flour #",Breads,92.0,14.0
"White bread, enriched with 9 g lupin kernel fiber (viscous insoluble fiber) (Australasian Natural Ingredients Pty Ltd, Perth, Australia) #",Breads,75.0,11.0
"Wonderwhite™, resistant starch-enriched bread (Buttercup Bakeries, Australia) #",Breads,80.0,12.0
"White, high-fiber (Weston's Bakery, Toronto, Canada) #",Breads,70.0,11.0
"Bread, made with 40% ß-glucan-enriched barley waxy flour (CDC Alamo, hull-less and waxy, 15.6% ß-glucan, low amylose) and 60% white wheat flour, frozen and thawed #",Breads,70.0,11.0
Wholemeal bread #,Breads,75.0,11.0
Wholemeal bread #,Breads,70.0,11.0
Wholemeal bread #,Breads,70.0,11.0
"Wholemeal bread, Helga's™ Traditional (Quality Bakers, Australia) #",Breads,70.0,11.0
Wholemeal flour bread #,Breads,72.0,11.0
Wholemeal bread #,Breads,72.0,11.0
Wholemeal flour/100% whole wheat bread #,Breads,73.0,11.0
Wholemeal bread #,Breads,75.0,11.0
"Wholemeal bread (Barilla G.eR. Fratelli S.p.A., Parma, Italy) #",Breads,75.0,11.0
"Wholemeal bread, tested in young adults (17-18 y) #",Breads,75.0,11.0
"Wholemeal bread, commercially-manufactured #",Breads,77.0,12.0
"Wholemeal bread (Tip Top Bakeries, Australia) #",Breads,77.0,12.0
"Wholemeal bread (Tip Top Bakeries, Australia) #",Breads,78.0,12.0
"Wholemeal loaf, high fiber #",Breads,85.0,13.0
Wholemeal bread #,Breads,88.0,13.0
Whole wheat bread #,Breads,96.0,14.0
"Wheaten wholegrain bread, Brennans Wholegrain Sliced Loaf (Brennans Bakeries Ltd, Ireland) #",Breads,75.0,11.0
"Aproten® bread roll, protein-free, enriched with 4.56 g soluble fiber (50% psyllium and 50% inulin) #",Breads,83.0,12.0
"Bread, made from Hi-Maize® whole grain corn flour (Ingredion, Bridgewater, NJ, USA) and white wheat flour, prepared in an automatic bread machine, frozen and thawed #",Breads,76.0,11.0
"Bread, made from purple-grain wheat flour (Jizi439 wheat variety), steamed for 20 min #",Breads,75.0,11.0
"Bread, made from purple-grain wheat flour (Chu20 wheat variety), steamed for 20 min #",Breads,84.0,13.0
"Bread stuffing, Paxo (Campbell Soup Co Ltd., Toronto, Canada) #",Breads,75.0,11.0
Brioche #,Breads,70.0,11.0
"Melba toast, Old London (Best Foods Canada Inc., Etobicoke, Canada) #",Breads,71.0,11.0
"Mixed grain bread, Molenberg™ (Goodman Fielder, New Zealand) #",Breads,84.0,13.0
"Turkish bread, white #",Breads,87.0,13.0
"Wheat bread, Einkorn (Triticum monococcum) wheat, leavened with crushed whole grains #",Breads,72.0,11.0
"White wheat flour bread, steamed #",Breads,88.0,13.0
Middle Eastern flatbread #,Breads,97.0,15.0
"Flatbread, made from wheat flour #",Breads,71.0,11.0
White wheat flour flatbread12 #,Breads,80.0,12.0
"Cornflakes™ (Kellogg's, Auckland, New Zealand) #",Breakfast Cereals,72.0,14.0
Cornflakes #,Breakfast Cereals,74.0,15.0
Cornflakes #,Breakfast Cereals,79.0,16.0
"Cornflakes™ (Kellogg's, Australia) #",Breakfast Cereals,77.0,15.0
"Cornflakes™ (Kellogg's Inc., Canada) #",Breakfast Cereals,80.0,16.0
"Cornflakes™ (Kellogg's Inc., Canada) #",Breakfast Cereals,87.0,17.0
Cornflakes #,Breakfast Cereals,88.0,18.0
"Cornflakes™ (Kellogg's, USA) #",Breakfast Cereals,92.0,18.0
"Cornflakes (Kellogg's, France) #",Breakfast Cereals,93.0,19.0
"Cornflakes (Kellogg's, MI, USA) #",Breakfast Cereals,132.0,26.0
"Cornflakes, high-fiber (Presidents Choice, Sunfresh Ltd., Toronto, Canada #",Breakfast Cereals,75.0,15.0
"Cream of Wheat™, Instant (Nabisco Brands Ltd., Canada) #",Breakfast Cereals,75.0,15.0
"Grapenuts™ Flakes (Post, Kraft General Foods Inc., Canada) #",Breakfast Cereals,81.0,16.0
"Oat bran crisp (Natureal® GI-crisp, Finn Cereal, Vantaa, Finland) #",Breakfast Cereals,79.0,16.0
"Instant oatmeal porridge, made from packet #",Breakfast Cereals,83.0,17.0
Oat porridge made from roasted thin (0.5 mm) dehulled oat flakes #,Breakfast Cereals,70.0,14.0
Oat porridge made from roasted and steamed thin (0.5 mm) dehulled oat flakes #,Breakfast Cereals,81.0,16.0
"Porridge, oat #",Breakfast Cereals,70.0,14.0
"Porridge, oat #",Breakfast Cereals,76.0,15.0
"Buckwheat porridge, made from buckwheat flakes (Myllyn Paras, Hyvinkää, Finland) and water, cooked in microwave for 5 min #",Breakfast Cereals,71.0,14.0
"Wholemeal oat flour porridge (flour:water = 1:3), boiled 2.5 min #",Breakfast Cereals,75.0,15.0
"Puffed Wheat (Sanitarium, Australia) #",Breakfast Cereals,80.0,16.0
"Rice Bubbles™ (Kellogg's, Australia) #",Breakfast Cereals,95.0,19.0
"Rice Krispies™ (Kellogg's Inc., Canada) #",Breakfast Cereals,83.0,17.0
"Shredded Wheat™ (Nabisco Brands Ltd., Canada) #",Breakfast Cereals,84.0,17.0
"Sultana Bran (Healthy Living, UK) #",Breakfast Cereals,90.0,18.0
"Weetabix™ (Weetabix of Canada Ltd., Canada) #",Breakfast Cereals,75.0,15.0
"Weetabix™, plain flaked wheat biscuits (Weetabix of Canada Ltd., Thornhill, Canada) #",Breakfast Cereals,75.0,15.0
"Cheerios™ (General Mills Inc., Etobicoke, Canada) #",Breakfast Cereals,75.0,15.0
"Corn Bran™ (Quaker Oats Co. of Canada, Peterborough, Canada) #",Breakfast Cereals,76.0,15.0
"Corn Chex™ (Nabisco Brands Ltd., Canada) #",Breakfast Cereals,84.0,17.0
"Crispix™ (Kellogg's Inc., Canada) #",Breakfast Cereals,88.0,18.0
"Golden Grahams™ (General Mills Inc., Canada) #",Breakfast Cereals,72.0,14.0
"Pro Stars™ (General Mills Inc., Canada) #",Breakfast Cereals,72.0,14.0
"Rice Chex™ (Nabisco Brands Ltd., Canada) #",Breakfast Cereals,90.0,18.0
"Team™ (Nabisco Brands Ltd., Canada) #",Breakfast Cereals,83.0,17.0
"Total™ (General Mills Inc., Canada) #",Breakfast Cereals,77.0,15.0
"Wheat-bites™ (Uncle Toby's, Australia) #",Breakfast Cereals,72.0,14.0
"FibrePlus™ breakfast cereal bar (Uncle Toby's, Australia) #",Breakfast Cereals,78.0,16.0
"Juicy cereal bar (stavnata tycinka FIT, Usovsko, Czech Republic) #",Breakfast Cereals,85.0,17.0
"Adlay (Coix lacryma-jobi Linn.), pre-soaked at 4oC for 12 h, steamed for 30 min #",Cereal Grains,91.0,41.0
"Adlay (Coix lacryma-jobi Linn.), pre-soaked at 4oC for 12 h, steamed for 60 min #",Cereal Grains,100.0,45.0
"Porridge, made from wholegrain barley flour, cooked in microwave for 5 min, stirred twice during cooking #",Cereal Grains,80.0,36.0
"Barley flour, prepared with water and baked #",Cereal Grains,70.0,32.0
"Porridge, made from buckwheat flakes (Myllyn Paras, Hyvinkää, Finland) and water, cooked in microwave for 5 min17 #",Cereal Grains,71.0,32.0
"Maize, ground, simmered with water for 20 min to make a gruel #",Cereal Grains,92.0,41.0
"Maize meal porridge/gruel, prepared with water #",Cereal Grains,111.0,50.0
"Maize meal porridge, unrefined, maize-meal:water = 1:3, cooked for 20-30 min, tested in young adults (17-18 y) #",Cereal Grains,71.0,32.0
"Maize meal porridge, refined, maize-meal:water = 1:3, cooked for 20-30 min, tested in young adults (17-18 y) #",Cereal Grains,74.0,33.0
"Maize, steamed for 40 min #",Cereal Grains,73.0,33.0
"Cornmeal, boiled in salted water 2 min (McNair Products Co. Ltd., Toronto, Canada) + 27.8 g margarine #",Cereal Grains,70.0,32.0
"Corn starch hydrolysate solution, 10% solution (M40, Grain Processing Corporation, IA, USA), tested by subjects with high AMY1 copy number #",Cereal Grains,94.0,42.0
"Corn starch hydrolysate solution, 10% solution (M40, Grain Processing Corporation, IA, USA), tested by subjects with high AMY1 copy number #",Cereal Grains,111.0,50.0
"Corn, fresh, roasted #",Cereal Grains,77.0,35.0
"Corn, fresh, boiled #",Cereal Grains,82.0,37.0
"Couscous, boiled 5 min #",Cereal Grains,70.0,32.0
"Millet, NS, boiled in water with 2 g salt #",Cereal Grains,71.0,32.0
"Foxtail millet (Setaria italica), pre-soaked at 4°C for 12 h, steamed for 60 min #",Cereal Grains,89.0,40.0
"Foxtail millet (Setaria italica), pre-soaked at 4°C for 12 h, steamed for 30 min #",Cereal Grains,93.0,42.0
"Millet flour porridge, prepared with water #",Cereal Grains,109.0,49.0
"Basmati rice, white, cooked by absorption method #",Cereal Grains,84.0,38.0
"Rice, black waxy (Oryza sativa Linn. spp.), pre-soaked at 4°C for 12 h, steamed for 30 min #",Cereal Grains,100.0,45.0
"Rice, black waxy (Oryza sativa Linn. spp.), pre-soaked at 4°C for 12 h, steamed for 60 min #",Cereal Grains,109.0,49.0
"Calrose brown (Rice Growers Co-op, Australia) #",Cereal Grains,87.0,39.0
"Brown rice (Carolina Natural whole grain brown rice), prepared in rice cooker #",Cereal Grains,95.0,43.0
"Pelde brown rice (Rice Growers Co-op, Australia) #",Cereal Grains,76.0,34.0
"Rice, brown, polished, cooked in an electronic rice cooker with 2 mL water/g rice #",Cereal Grains,79.0,36.0
"Sunbrown Quick™ (Rice Growers Co-op, Australia) #",Cereal Grains,80.0,36.0
"Rice, white, puffed for 10 min #",Cereal Grains,72.0,32.0
"Instant rice, white, cooked 6 min (Trice brand, Australia) #",Cereal Grains,87.0,39.0
"White rice, NS #",Cereal Grains,70.0,32.0
"White rice, NS #",Cereal Grains,72.0,32.0
"Rice, NS, boiled in water for 15 min, 76.9% starch gelatinization #",Cereal Grains,72.0,32.0
"White rice, NS, boiled in water with 1 g salt #",Cereal Grains,73.0,33.0
"Rice (Oryza sativa), white #",Cereal Grains,77.0,35.0
"Rice, white, polished (Cap Rambutan, Malaysia), cooked in an electronic rice cooker with 2 mL water/g rice #",Cereal Grains,86.0,39.0
"Rice, white, NS, boiled 13 min in salted water #",Cereal Grains,89.0,40.0
"White rice, NS, boiled #",Cereal Grains,92.0,41.0
"White rice, NS, boiled in salted water #",Cereal Grains,114.0,51.0
"Japonica, short-grain white rice, cooked in electric rice cooker #",Cereal Grains,76.0,34.0
"Japonica, short-grain white rice, cooked in electric rice cooker #",Cereal Grains,75.0,34.0
"Japonica rice (Oryza sativa spp. japonica), white, steamed for 30 min #",Cereal Grains,83.0,37.0
"Japonica rice (Matsusakabeikoku Incorporated Ltd, Matsusaka Mie, Japan), boiled in water #",Cereal Grains,88.0,40.0
"Japonica, white rice (Koshihikari) #",Cereal Grains,89.0,40.0
"Long grain, non-glutinous (non-waxy) rice variety RD 21/23 (low amylose), boiled for 20 min #",Cereal Grains,71.0,32.0
"Long-grain white, fragrant, steamed for 40 min #",Cereal Grains,91.0,41.0
"Glutinous (waxy) rice, low-amylose, boiled for 20 min #",Cereal Grains,75.0,34.0
"Glutinous rice, steamed #",Cereal Grains,76.0,34.0
"Calrose, white, medium grain, boiled (Rice Growers Co-op., Australia) #",Cereal Grains,83.0,37.0
"Sungold, Pelde, parboiled (Rice Growers Co-op., Australia) #",Cereal Grains,87.0,39.0
"Waxy (0-2% amylose) (Rice Growers Co-op., Australia) #",Cereal Grains,88.0,40.0
"Pelde, white (Rice Growers Co-op., Australia) #",Cereal Grains,93.0,42.0
Parboiled rice #,Cereal Grains,72.0,32.0
"Parboiled, low-amylose, Pelde, Sungold (Rice Growers Co-op, Australia) #",Cereal Grains,87.0,39.0
Polished rice #,Cereal Grains,70.0,32.0
Polished rice #,Cereal Grains,72.0,32.0
Polished rice #,Cereal Grains,82.0,37.0
"Rice, boiled in water for 15 min, 76.9% starch gelatinization #",Cereal Grains,72.0,32.0
"Jasmine rice, Della, cooked in rice cooker (Specialty Rice Inc., USA) #",Cereal Grains,96.0,43.0
"Rice, white Adan #",Cereal Grains,72.0,32.0
"Rice (Oryza sativa L.), white Mayas #",Cereal Grains,74.0,33.0
"White rice, NS, boiled 13 min, then baked 10 min at 160°C #",Cereal Grains,94.0,42.0
"White rice, steamed #",Cereal Grains,70.0,32.0
"Rice, white, gruel, simmered over low heat with water for 45 min #",Cereal Grains,93.0,42.0
"Rice cakes, white, prepared by steaming white rice flour over high heat for 30 min #",Cereal Grains,81.0,36.0
"Glutinous rice balls, boiled rice cake balls in water for 15 min #",Cereal Grains,97.0,44.0
"Rice, long grain, high resistant starch (4.4 g RS/50 g avCHO), prepared in rice cooker, refrigerated #",Cereal Grains,84.0,38.0
"Rice, short grain, low resistant starch (0.4 g RS/50 g avCHO), prepared in pressure cooker, refrigerated #",Cereal Grains,78.0,35.0
"Sago starch (Metroxylon spp.) with the addition of 20% red bean (Phaseolus vulgaris) flour, prepared as a rice analogue by extrusion and drying at 50°C for 12 h #",Cereal Grains,70.0,32.0
"Sago starch (Metroxylon spp.) with the addition of 25% red bean (Phaseolus vulgaris) flour, prepared as a rice analogue by extrusion and drying at 50°C for 12 h #",Cereal Grains,77.0,35.0
"Semolina, roasted at 105°C then gelatinized with water, with 5 g groundnut oil #",Cereal Grains,76.0,34.0
"Biscuits (Dicofarm Spa, Rome, Italy) #",Cookies,72.0,14.0
"Biscuit, commercially-available #",Cookies,80.0,16.0
"Biscuit, NS #",Cookies,70.0,14.0
"Fette Biscottate Le malto d'orzo (Mulino Bianco, Barilla) #",Cookies,84.0,17.0
"Golden Fruit biscuit (Griffin's Foods Ltd., Auckland, New Zealand) #",Cookies,77.0,15.0
"Graham Wafers (Christie Brown & Co., Toronto, Canada) #",Cookies,75.0,15.0
"Morning Coffee™(Arnotts, Australia) #",Cookies,79.0,16.0
"Vanilla Wafers (Christie Brown & Co., Canada) #",Cookies,78.0,16.0
"Crackers, enriched with 1.9% ß-glucan #",Crackers,75.0,11.0
"Kavli™ Norwegian Crispbread (Players Biscuits, Sydney, Australia) #",Crackers,71.0,11.0
"Premium Soda Crackers (Christie Brown & Co., Canada) #",Crackers,75.0,11.0
"Puffed Crispbread (Westons, Australia) #",Crackers,81.0,12.0
"Puffed rice cakes, white (Rice Growers Co-op, Australia) #",Crackers,82.0,12.0
Rice cake #,Crackers,82.0,12.0
"Ryvita, whole-wheat snack bread (Ryvita Co Ltd., Poole, Dorset, UK) #",Crackers,75.0,11.0
"Sao™, plain square crackers (Arnotts, Australia) #",Crackers,70.0,11.0
"Water cracker (Arnotts, Australia) #",Crackers,78.0,12.0
"Ice cream (half vanilla, half chocolate) #",Dairy Products and Alternatives,81.0,16.0
"Tofu-based frozen dessert, chocolate with high-fructose (24%) corn syrup #",Dairy Products and Alternatives,115.0,23.0
"Banana, NS #",Fruit and Fruit Products,70.0,11.0
"Banana (Musa paradisiaca), yellow skin without green or brown discoloration #",Fruit and Fruit Products,75.0,11.0
"Paw paw (Carica papaya), raw #",Fruit and Fruit Products,86.0,13.0
"Pomelo, Majia variety (Citrus grandis cv. Majiayou), fresh #",Fruit and Fruit Products,72.0,11.0
"Pomelo, Majia variety (Citrus grandis cv. Majiayou), fresh #",Fruit and Fruit Products,78.0,12.0
"Rockmelon/Cantaloupe, raw #",Fruit and Fruit Products,70.0,11.0
"Watermelon, raw #",Fruit and Fruit Products,72.0,11.0
"Watermelon, raw #",Fruit and Fruit Products,80.0,12.0
"Kidney beans, dried, soaked 12 h, stored moist 24 h, steamed 1 h #",Legumes,70.0,11.0
"Broad beans, boiled in water with 2 g salt #",Legumes,79.0,12.0
Chocolate soya weight management drink #,Meal Replacement & Weight Management Products,73.0,15.0
"GatorPro®, chocolate flavor (Gatorade, Chicago, IL, USA) #",Meal Replacement & Weight Management Products,89.0,18.0
"Optifuel (Twin Laboratories Inc, Ronkonkowa, NY, USA) #",Meal Replacement & Weight Management Products,78.0,16.0
"Ensure™, vanilla flavor (Abbott Laboratories, Columbus, Ohio, USA) #",Nutrition Support Products,75.0,23.0
"Fusilli pasta, gluten-free, Pasta Riso, containing rice flour and rice germ (Scotti, Italy), boiled in unsalted water #",Pasta and Noodles,75.0,30.0
"Macaroni, gluten free, prepared with rice flour (Oryza sativa Indica), double extrusion process, boiled in water for 9 min, no salt added #",Pasta and Noodles,71.0,28.0
"Rice pasta, brown, boiled 16 min (Rice Grower's Co-op, Australia) #",Pasta and Noodles,92.0,37.0
